Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
571,Edge Hill University,3.33,Masters,Leeds,F,N/A,1,0,2,Predictive Analytics Manager,7/14,12/17,Treasury Data Scientist,1/5,2/11,N/A,N/A,N/A,5.07
572,University of Sheffield,2.66,Masters,Oxford,F,0,1,N/A,3,Corporate Finance Analyst,3/16,12/22,N/A,N/A,N/A,N/A,N/A,N/A,6.93
573,University of Illinois at Urbana Champaign,3.33,Phd,Canterbury,N/A,N/A,0,1,3,Operational Risk Analyst,1/17,5/21,N/A,N/A,N/A,N/A,N/A,N/A,6.7
574,University of Rochester,1.33,Masters,Boston,F,0,1,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.94
575,University of Nebraska Medical Center,4.3,Bachelors,Kingston,N/A,1,1,N/A,2,Corporate Finance Analyst,2/23,N/A,Operational Risk Analyst,5/24,10/24,Algorithmic Trading Developer,1/6,9/13,8.31
576,State University of New York Albany,2.59,Masters,Newark,N/A,1,0,N/A,1,Business Development Analyst,1/20,6/20,Algorithmic Compliance Officer,2/5,12/6,Financial Technology Analyst,11/15,6/16,1.78
577,Kent State University,3.07,Bachelors,Durham,M,N/A,0,0,2,Treasury Data Scientist,1/12,N/A,Retail Banking Analyst,1/17,8/17,Capital Markets Data Scientist,12/23,4/24,6.09
578,Leeds Beckett University,2.99,Bachelors,Birmingham,N/A,N/A,0,1,1,Hedge Fund Quantitative Analyst,9/9,7/20,Mortgage Risk Analyst,3/23,5/23,Sales Analyst,6/4,12/12,6.46
579,Florida Atlantic University,2.75,Bachelors,Leeds,M,0,0,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.83
580,Cornell University,4.48,Masters,Charlottesville,M,0,0,N/A,2,Algorithmic Investment Strategist,2/5,10/21,Hedge Fund Quantitative Analyst,7/17,8/21,Revenue Analyst,11/6,6/24,7.54
581,University of North Carolina at Chapel Hill,3.51,Masters,Colchester,M,N/A,1,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.54
582,University of Reading,0.13,Bachelors,Troy,M,1,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.46
583,Carnegie Mellon University,0.86,Bachelors,Philadelphia,M,N/A,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.8
584,University of Kentucky,4.65,Bachelors,Durham,F,N/A,0,0,2,Treasury Analyst,10/22,10/24,N/A,N/A,N/A,N/A,N/A,N/A,8.32
585,Texas AandM University,3.35,Masters,Bristol,M,N/A,0,N/A,1,Financial Data Analyst,11/17,11/19,Financial Product Analyst,9/22,10/23,Credit Scoring Specialist,4/5,1/20,0.55
586,Newcastle University,2.67,Masters,East Lansing,F,1,1,1,0,Quantitative Trading Analyst,12/10,3/13,N/A,N/A,N/A,N/A,N/A,N/A,6.26
587,University of Aberdeen,1.12,Bachelors,Pasadena,F,1,1,N/A,4,Algorithm Developer,9/8,9/10,Algorithmic Investment Analyst,2/3,12/9,Investment Portfolio Analyst,10/14,8/22,2.62
588,University of Plymouth,3.18,Bachelors,Barnet,N/A,1,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.23
589,University of Greenwich,4.68,Phd,Moscow,N/A,N/A,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.83
590,University at Buffalo,3.35,Masters,Miami,N/A,N/A,0,1,2,Quantitative Analyst,10/23,11/24,Asset Management Analyst,5/19,12/24,Machine Learning Engineer,8/21,4/22,2.7
591,University of Edinburgh,4.75,Bachelors,Nottingham,N/A,1,1,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.1
592,Florida Institute of Technology,1.03,Phd,St. Louis,M,0,1,1,0,Credit Scoring Specialist,7/16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48
593,University of Pittsburgh,0.84,Bachelors,Miami,M,0,1,N/A,3,Mutual Fund Analyst,6/7,N/A,Quantitative Behavioral Finance Analyst,9/18,10/18,Revenue Analyst,6/24,9/24,0.97
594,Coventry University,1.73,Bachelors,Bradford,N/A,1,0,0,2,Banking Analytics Consultant,11/23,6/24,Algorithmic Trading Developer,11/2,5/3,Corporate Finance Analyst,12/21,3/23,4.61
595,Brunel University London,4.77,Masters,College Station,M,N/A,0,N/A,1,Risk Modeling Analyst,3/2,8/22,Credit Risk Data Scientist,1/3,3/7,Loan Approval Modeler,5/20,7/22,8.15
596,Syracuse University,0.83,Phd,Lincoln,M,0,0,1,2,Algorithmic Investment Strategist,1/10,9/14,N/A,N/A,N/A,N/A,N/A,N/A,2.21
597,Hofstra University,3.29,Phd,Bethlehem,N/A,1,0,0,0,Algorithmic Investment Strategist,2/16,7/20,Stress Testing Modeler,4/11,10/17,Hedge Fund Analyst,10/7,12/14,8.03
598,Brunel University London,3.2,Bachelors,Washington DC,M,N/A,1,N/A,3,Robo Advisory Data Scientist,6/11,1/19,N/A,N/A,N/A,N/A,N/A,N/A,4.1
599,Ulster University,2.63,Bachelors,Fairfax,M,N/A,0,1,0,Algorithmic Trading Risk Manager,9/19,2/24,Asset Liability Management Analyst,4/24,11/24,Investment Operations Analyst,8/7,5/23,9.57
600,University of North Florida,4.88,Bachelors,Canterbury,M,N/A,0,N/A,4,Banking Technology Consultant,11/9,N/A,Market Risk Quantitative Analyst,10/7,3/12,N/A,N/A,N/A,7.73
601,Swansea University,0.29,Masters,Loughborough,N/A,N/A,0,0,1,Algorithmic Trading Risk Manager,4/2,7/23,Financial Systems Analyst,2/8,5/8,Treasury Analyst,3/2,5/18,9.67
602,University of Nebraska Lincoln,2.76,Masters,Fairbanks,F,0,1,0,2,Alternative Data Researcher,5/23,8/23,Capital Adequacy Modeler,4/13,4/15,Treasury Data Scientist,4/21,6/24,9.53
603,University of Texas at Austin,4.08,Phd,Cambridge,M,N/A,0,1,0,Algorithmic Investment Strategist,7/6,1/13,Derivatives Pricing Analyst,8/23,5/24,Revenue Analyst,7/16,6/23,8.08
604,California State University Long Beach,1.18,Phd,Liverpool,F,0,0,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.64
605,Robert Gordon University,2.67,Masters,Poole,N/A,1,0,1,0,Credit Risk Analyst,2/17,10/24,N/A,N/A,N/A,N/A,N/A,N/A,4.41
606,Marquette University,2.49,Bachelors,Tuscaloosa,F,N/A,1,0,3,Financial Reporting Data Scientist,8/5,8/14,Hedge Fund Analyst,10/7,11/22,Regulatory Stress Testing Analyst,10/18,6/24,4.41
607,Auburn University,1.12,Phd,Leicester,M,1,1,1,2,Quantitative Analyst,9/4,3/9,Anti Money Laundering Specialist,1/24,11/24,Product Pricing Analyst,1/2,3/2,6.86
608,Louisiana State University,1.04,Phd,Chapel Hill,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.62
609,Tulane University,2.49,Phd,Brighton,F,1,1,0,4,Mergers and Acquisitions Analyst,5/19,4/24,Quantitative Investment Analyst,8/18,2/21,Customer Lifetime Value Analyst,5/9,9/22,6.74
610,SOAS University of London,1.16,Phd,Portland,M,N/A,1,1,4,Regulatory Capital Analyst,4/7,2/18,N/A,N/A,N/A,N/A,N/A,N/A,5.52
611,Imperial College London,3.31,Phd,Aberystwyth,F,1,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29
612,Kent State University,4.2,Phd,Las Cruces,N/A,1,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.76
613,University of Tulsa,3.9,Phd,Eugene,N/A,1,1,0,0,Mutual Fund Analyst,1/9,8/17,N/A,N/A,N/A,N/A,N/A,N/A,6.49
614,EmbryRiddle Aeronautical University,2.2,Masters,Oxford,F,0,0,1,3,Regulatory Reporting Data Scientist,3/2,11/5,Real Time Transaction Monitoring Analyst,7/11,5/17,Tax Analyst,1/4,4/18,8.76
615,University of Rochester,3.83,Masters,Toledo,F,0,1,N/A,4,Quantitative Analyst,2/2,2/4,Asset Management Analyst,1/19,6/23,Algorithmic Audit Specialist,1/20,11/20,8.09
616,Florida Institute of Technology,2.86,Bachelors,Austin,N/A,N/A,1,1,4,International Finance Analyst,12/9,7/19,Predictive Analytics Manager,4/14,4/23,N/A,N/A,N/A,7.39
617,Newcastle University,4.35,Masters,Jacksonville,N/A,1,0,N/A,1,Operational Risk Modeling Analyst,9/14,1/15,Algorithmic Investment Strategist,9/4,12/12,Anti Money Laundering Specialist,5/2,5/21,9.68
618,Kingston University,1.76,Bachelors,Birmingham,N/A,1,1,0,3,Basel III Implementation Specialist,5/14,3/22,Operational Risk Analyst,12/4,3/15,High Frequency Trading Strategist,7/19,7/20,2.9
619,Imperial College London,2,Phd,Cambridge,N/A,1,1,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.99
620,University of Houston,3.41,Bachelors,Long Beach,N/A,0,1,1,2,Corporate Finance Analyst,6/17,6/18,N/A,N/A,N/A,N/A,N/A,N/A,6.41
621,University of Leicester,4.27,Phd,Luton,N/A,N/A,1,1,4,Public Finance Analyst,9/23,11/24,Financial Advisor,4/19,5/23,Credit Risk Analyst,5/14,11/23,0.74
622,Arizona State University ,0.33,Phd,Lancaster,F,N/A,1,0,1,Fraud Detection Analyst,5/21,12/22,Model Implementation Specialist,1/13,9/24,N/A,N/A,N/A,9.68
623,Baylor University,4.17,Masters,Portland,N/A,1,1,N/A,2,Financial Advisor,3/10,8/14,N/A,N/A,N/A,N/A,N/A,N/A,7.6
624,University of Houston,1.03,Bachelors,Preston,M,N/A,1,1,1,Market Risk Quantitative Analyst,6/16,5/22,Financial Product Analyst,10/7,5/9,N/A,N/A,N/A,5.25
625,Queens University Belfast,0.48,Bachelors,Rolla,F,0,1,1,3,Regulatory Compliance Analyst,10/18,6/22,Alternative Data Researcher,7/17,2/20,Operational Risk Analyst,4/11,5/12,8.75
626,Colorado State University Fort Collins,2.76,Bachelors,Jacksonville,F,1,0,0,3,Data Mining Engineer,6/12,7/24,Algorithmic Trade Surveillance Analyst,7/18,4/24,Regulatory Compliance Analyst,8/10,9/11,1.63
627,Loughborough University,0.34,Masters,Stanford,F,N/A,1,N/A,4,Investment Banking Analyst,12/17,11/23,Capital Markets Data Scientist,10/21,2/24,Asset Management Analyst,4/22,10/23,9.13
628,Case Western Reserve University,1.34,Masters,Tuscaloosa,N/A,1,1,N/A,4,Mortgage Risk Analyst,4/7,11/15,Risk Analyst,6/4,10/19,Credit Risk Analyst,10/18,9/24,1.88
629,University of Missouri St Louis,4.75,Phd,Lincoln,F,N/A,0,N/A,2,Public Finance Analyst,2/24,11/24,Cost Analyst,2/16,7/21,Market Risk Quantitative Analyst,11/24,12/24,8.23
630,University of Reading,3.38,Masters,Egham,N/A,1,0,N/A,0,Fraud Detection Analyst,7/10,8/11,Financial Modelling Analyst,8/10,5/21,Revenue Analyst,11/24,12/24,4.26
631,Carnegie Mellon University,0.6,Phd,Evanston,N/A,0,0,1,0,Model Development Analyst,2/17,5/17,Budget Analyst,11/4,1/22,Economic Analyst,5/12,1/20,4.65
632,Indiana University,3.23,Bachelors,Eugene,M,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.28
633,Dartmouth College,0.3,Phd,Urbana,F,N/A,0,0,3,Machine Learning Engineer,2/4,8/4,Econometrician,12/23,9/24,N/A,N/A,N/A,4.86
634,University of Florida,3.73,Bachelors,Fort Lauderdale,M,N/A,0,N/A,1,Economic Analyst,6/23,2/24,Asset Management Analyst,11/3,9/23,N/A,N/A,N/A,3.35
635,New Mexico State University,1.76,Phd,North West,F,0,0,1,1,Algorithmic Market Maker,12/12,7/18,N/A,N/A,N/A,N/A,N/A,N/A,8.19
636,University of Wolverhampton,0.03,Bachelors,Stanford,F,0,1,0,4,Regulatory Capital Analyst,8/3,N/A,Financial Data Analyst,7/23,3/24,N/A,N/A,N/A,2.33
637,California State University Long Beach,0.42,Phd,Jacksonville,M,1,0,0,1,Financial Data Analyst,4/19,11/24,Insurance Analyst,12/14,8/24,Algorithmic Trading Developer,3/3,1/5,8.4
638,University of California Davis,1.95,Bachelors,Miami,N/A,1,0,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.17
639,Washington University in St Louis,4.52,Masters,Cambridge,N/A,N/A,0,0,3,Tax Analyst,5/3,8/8,Derivatives Analyst,6/22,7/23,Wealth Management Analyst,11/12,12/14,0.36
640,Oklahoma State University,4.64,Bachelors,Ormskirk,F,0,1,1,3,Client Relations Analyst,2/5,8/15,Basel II Analyst,6/24,12/24,Credit Portfolio Manager,1/11,1/22,4.58
641,University of Denver,4.41,Phd,Tampa,M,0,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.68
642,Howard University,2.61,Phd,Boston,M,1,0,1,0,Model Governance Analyst,2/19,9/24,Equity Research Analyst,5/9,1/11,Banking Analytics Consultant,5/20,10/20,7.03
643,Robert Gordon University,2.08,Bachelors,Rochester,N/A,1,1,N/A,3,Venture Capital Analyst,6/10,11/23,Model Risk Management Specialist,8/23,9/23,N/A,N/A,N/A,3.91
644,University of Oregon,2.88,Bachelors,Fort Lauderdale,M,N/A,0,N/A,2,Fixed Income Research Analyst,3/14,4/15,Portfolio Manager,12/19,8/21,Algorithmic Trading Developer,9/10,8/24,1.03
645,University of Texas at Dallas,1.66,Phd,Philadelphia,M,0,1,N/A,0,Portfolio Optimization Analyst,11/12,9/14,Derivatives Pricing Analyst,9/17,10/20,N/A,N/A,N/A,4.24
646,Bangor University,0.77,Masters,Eugene,N/A,0,0,0,2,Credit Default Swap Analyst,8/4,6/15,N/A,N/A,N/A,N/A,N/A,N/A,4.64
647,University of Greenwich,4.06,Masters,Cambridge,F,N/A,1,1,3,Algorithmic Risk Manager,7/7,N/A,Machine Learning Model Validator,7/9,6/10,Quantitative Investment Analyst,9/22,10/23,0.69
648,Texas Tech University,4.44,Phd,Kent,N/A,1,0,N/A,3,Portfolio Manager,7/23,7/23,Investment Banking Analyst,11/19,11/21,Algorithmic Trading Risk Manager,7/13,9/17,9.91
649,Lehigh University,0.82,Masters,Chicago,M,N/A,0,1,2,Market Microstructure Analyst,8/2,6/7,Algorithmic Trading Risk Manager,4/19,1/24,Credit Risk Data Scientist,5/3,12/24,5.04
650,Loughborough University,2.82,Masters,Albany,N/A,1,1,0,3,Treasury Data Scientist,3/23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4
651,Case Western Reserve University,1.19,Phd,Aberdeen,F,N/A,0,1,1,Market Sentiment Analyst,1/4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.42
652,London School of Economics and Political Science,4.76,Masters,Washington,M,0,1,1,2,Asset Pricing Analyst,2/7,4/21,Financial Advisor,2/18,10/19,Financial Systems Analyst,7/12,2/20,6.33
653,Edinburgh Napier University,1.74,Bachelors,Edinburgh,N/A,1,1,1,3,Environmental Social and Governance Analyst,1/5,4/21,Algorithmic Trading Developer,12/20,8/23,N/A,N/A,N/A,1.56
654,Louisiana State University,4.96,Bachelors,Baltimore,M,0,0,0,4,Treasury Data Scientist,12/5,3/23,Banking Operations Data Scientist,7/22,3/23,Financial Engineering Specialist,10/21,11/23,8.41
655,Stevens Institute of Technology,4.33,Masters,Socorro,M,N/A,1,1,2,Economic Analyst,6/16,N/A,Investment Analyst,1/23,6/23,N/A,N/A,N/A,7.06
656,Northwestern University,2.79,Bachelors,Edinburgh,M,1,0,N/A,3,Economic Capital Analyst,5/2,3/23,Model Development Analyst,3/21,12/21,Economic Analyst,2/6,1/18,3.74
657,University of Texas at El Paso,1.21,Phd,Cambridge,N/A,1,1,N/A,1,Commercial Banking Analyst,12/23,9/24,N/A,N/A,N/A,N/A,N/A,N/A,5.85
658,UCL,0.13,Bachelors,Aberdeen,F,N/A,0,N/A,2,Mutual Fund Analyst,10/17,10/22,Financial Technology Analyst,12/20,5/23,N/A,N/A,N/A,3.45
659,Michigan State University,1.48,Bachelors,Edinburgh,F,0,0,N/A,0,Corporate Strategy Data Scientist,4/8,8/9,Hedge Fund Analyst,9/11,7/13,N/A,N/A,N/A,1.78
660,De Montfort University,4.16,Masters,Orlando,N/A,0,1,N/A,4,Customer Experience Analyst,1/7,3/9,Algorithmic Market Analyst,6/2,3/13,Quantitative Analyst,10/15,6/16,0.45
661,University of Arizona,1.91,Phd,New Brunswick,N/A,0,0,0,1,Commercial Banking Analyst,7/3,N/A,Investment Analyst,12/4,4/16,Quantitative Analyst,12/20,6/24,1.94
662,Virginia Polytechnic Institute and State University,1.29,Masters,Houston,F,1,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.66
663,Royal Veterinary College,2.02,Phd,Bloomsbury,N/A,0,1,0,4,Asset Liability Management Analyst,1/4,4/9,Liquidity Stress Testing Analyst,10/11,9/15,Commodity Analyst,6/11,5/17,6.35
664,Ulster University,0.21,Bachelors,Pasadena,F,1,0,0,4,Stress Testing Modeler,7/21,8/22,Investment Risk Analyst,5/21,10/23,Market Risk Quantitative Analyst,3/5,9/12,6.78
665,University of Portsmouth,1.49,Phd,Hempstead,N/A,1,0,0,4,Econometrician,9/15,11/24,N/A,N/A,N/A,N/A,N/A,N/A,2.77
666,University of Missouri St Louis,2.58,Masters,Pittsburgh,F,1,1,0,4,Alternative Data Researcher,5/15,1/23,N/A,N/A,N/A,N/A,N/A,N/A,9.5
667,Teesside University,0.94,Bachelors,Washington,F,1,1,N/A,0,Forensic Accountant,5/23,6/24,Venture Capital Analyst,7/20,9/21,Machine Learning Model Validator,7/12,6/20,3.71
668,University of Chester,3.86,Masters,San Marcos,F,0,0,1,3,Data Mining Engineer,12/5,9/20,Alternative Data Researcher,10/2,4/23,N/A,N/A,N/A,3.4
669,West Virginia University,4.92,Bachelors,Portsmouth,M,0,1,1,4,Banking Fraud Investigator,12/22,5/23,N/A,N/A,N/A,N/A,N/A,N/A,7.36
670,Florida International University,2.91,Bachelors,Ruston,M,0,0,1,3,Wealth Management Analyst,6/13,8/22,Corporate Finance Analyst,6/17,9/23,Algorithmic Market Maker,9/7,7/9,8.53
671,University of Toledo,4,Masters,Jacksonville,N/A,1,0,N/A,4,Banking Fraud Investigator,5/19,N/A,Credit Scoring Specialist,11/7,3/11,N/A,N/A,N/A,0.05
672,University of California Los Angeles,2.98,Bachelors,Worcester,N/A,N/A,0,1,2,Anti Money Laundering Specialist,11/4,6/24,Mergers and Acquisitions Analyst,5/12,11/19,Financial Data Analyst,1/21,10/24,9.96
673,Brighton and Sussex Medical School,3.08,Phd,Vermillion,F,1,1,N/A,2,Algorithmic Risk Manager,10/12,8/19,Quantitative Investment Analyst,7/21,5/22,Algorithm Validation Engineer,6/6,5/17,2.55
674,Binghamton University State University of New York,2.97,Masters,Brighton,N/A,0,1,N/A,2,Quantitative Analyst,1/21,12/21,International Finance Analyst,3/13,6/16,Algorithmic Investment Analyst,7/7,8/23,7.4
675,Bangor University,3.37,Bachelors,Brighton,M,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.71
676,Sheffield Hallam University,3.66,Phd,Melbourne,M,0,0,0,0,Quantitative Risk Analyst,3/17,12/22,Regulatory Compliance Analyst,5/20,8/20,Behavioral Analytics Researcher,12/18,3/21,2.67
677,Northwestern University,2.07,Masters,Cambridge,N/A,0,0,0,0,Actuarial Analyst,8/22,11/24,N/A,N/A,N/A,N/A,N/A,N/A,4.16
678,Iowa State University,4.95,Phd,Los Angeles,N/A,0,0,1,0,Structured Finance Analyst,5/16,7/16,Churn Prediction Specialist,6/2,9/18,Credit Risk Data Scientist,2/7,12/12,6.91
679,University of Notre Dame,2.06,Masters,College Station,N/A,N/A,1,N/A,1,Quantitative Investment Analyst,6/3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.96
680,Teesside University,3.15,Bachelors,Bloomsbury,M,1,1,0,3,Financial Data Analyst,8/11,9/18,N/A,N/A,N/A,N/A,N/A,N/A,7.29
681,University of Chicago,4.41,Bachelors,Atlanta,M,0,1,1,0,Pricing Analyst,9/10,8/13,Algorithmic Trading Developer,7/7,6/12,Securities Analyst,9/20,7/21,2.31
682,Goldsmiths University of London,2.7,Phd,Baltimore,M,1,0,N/A,0,Investment Risk Analyst,12/16,4/17,Model Risk Management Specialist,6/21,7/21,Corporate Finance Analyst,3/15,7/20,5.03
683,Cardiff University,4.3,Bachelors,Oxford,N/A,0,1,N/A,1,Model Implementation Specialist,9/17,4/18,Model Implementation Specialist,6/19,9/19,Quantitative Model Validator,2/4,5/20,6.92
684,London South Bank University,2.22,Bachelors,Hoboken,M,N/A,1,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.13
685,George Mason University,1.02,Masters,Bloomington,M,N/A,0,0,4,Strategic Planning Analyst,10/11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.31
686,Indiana University,1.3,Phd,Fairbanks,N/A,1,1,0,3,Venture Capital Analyst,2/5,N/A,Risk Modeling Analyst,4/18,10/19,Economic Capital Analyst,11/16,5/23,0.36
687,Hofstra University,0.49,Masters,Ames,F,N/A,0,1,4,Customer Segmentation Specialist,7/10,11/18,N/A,N/A,N/A,N/A,N/A,N/A,8.36
688,Texas Tech University,0.02,Phd,San Diego,N/A,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.15
689,Kingston University,1.31,Bachelors,Coleraine,F,N/A,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.31
690,University of Miami,3.19,Masters,Southampton,F,N/A,1,0,4,Churn Prediction Specialist,10/4,6/24,Financial Planning and Analysis Analyst,12/3,2/15,Algorithm Developer,1/13,7/14,2.2
691,Georgia State University,2.21,Phd,Nottingham,F,N/A,0,0,4,Regulatory Reporting Data Scientist,4/9,12/12,Algorithmic Investment Strategist,9/12,12/18,Revenue Analyst,7/21,10/23,1.5
692,University of Southern California,4.03,Phd,Ormskirk,M,1,0,0,1,Financial Engineering Specialist,9/3,9/24,Budget Analyst,11/20,3/21,N/A,N/A,N/A,8.76
693,Leeds Beckett University,0.27,Bachelors,San Marcos,M,0,0,1,1,Capital Adequacy Modeler,6/14,8/16,Budget Analyst,3/10,8/19,High Frequency Trading Strategist,2/23,10/23,3.74
694,Baylor University,1.83,Bachelors,Glasgow,F,0,1,N/A,2,Customer Lifetime Value Analyst,10/9,10/18,Financial Reporting Data Scientist,6/6,2/10,Quantitative Behavioral Finance Analyst,8/12,7/17,9.93
695,George Washington University,3.85,Masters,Nottingham,N/A,1,0,1,4,Algorithmic Market Maker,9/9,7/24,N/A,N/A,N/A,N/A,N/A,N/A,3.91
696,City University of London,1.85,Bachelors,Baltimore,F,N/A,1,N/A,3,Financial Data Analyst,8/9,7/22,Consumer Insights Analyst,3/9,1/12,N/A,N/A,N/A,7.77
697,University of Georgia,2.1,Masters,Nottingham,N/A,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.17
698,London South Bank University,1.36,Bachelors,Reading,N/A,N/A,1,1,2,Risk Modeling Analyst,9/13,9/19,Financial Market Data Scientist,6/7,3/18,Investment Analyst,12/17,7/23,0.17
699,Purdue University West Lafayette,4.33,Bachelors,Bethlehem,M,0,0,0,1,Risk Analyst,11/8,11/11,Market Research Scientist,12/18,5/21,Robo Advisory Data Scientist,5/5,8/8,5.9
700,Manchester Metropolitan University,2.28,Masters,Socorro,N/A,N/A,0,1,2,Machine Learning Model Auditor,3/15,12/20,Portfolio Optimization Analyst,3/11,8/16,N/A,N/A,N/A,5.48
701,Nova Southeastern University,0.54,Phd,Jacksonville,F,1,1,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.76
702,Arizona State University ,0.67,Bachelors,Pasadena,M,1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.45
703,Johns Hopkins University,3.47,Masters,Columbus,M,N/A,1,1,0,Equity Research Analyst,12/9,12/18,N/A,N/A,N/A,N/A,N/A,N/A,0.71
704,University of Missouri St Louis,3.67,Masters,Milwaukee,M,N/A,1,0,0,Market Risk Quantitative Analyst,9/17,N/A,Financial Engineering Specialist,2/9,9/12,Market Research Analyst,5/2,1/24,3.9
705,Auburn University,1.3,Bachelors,Denver,F,0,0,0,4,Securities Analyst,10/16,8/18,Financial Modelling Analyst,8/20,12/20,Business Development Analyst,8/6,4/20,0.6
706,University of Nottingham,3.3,Masters,Las Vegas,M,N/A,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.16
707,Purdue University West Lafayette,3.33,Phd,Hoboken,F,N/A,0,0,4,Portfolio Optimization Analyst,3/18,7/24,N/A,N/A,N/A,N/A,N/A,N/A,1.95
708,University of Delaware,4.31,Bachelors,Birmingham,M,1,0,N/A,0,Marketing Data Scientist,1/22,2/24,N/A,N/A,N/A,N/A,N/A,N/A,3.33
709,University of Edinburgh,1.19,Bachelors,Minneapolis,M,N/A,1,N/A,3,Consumer Insights Analyst,9/19,11/19,Private Equity Analyst,9/3,9/24,Customer Lifetime Value Analyst,3/3,6/16,6.54
710,Syracuse University,2.59,Masters,Rochester,F,1,1,1,2,Derivatives Analyst,12/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.07
711,Carnegie Mellon University,3.26,Bachelors,Jacksonville,N/A,N/A,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.32
712,University of Plymouth,2.58,Masters,Colchester,F,N/A,1,N/A,1,Liquidity Risk Analyst,12/18,N/A,Credit Loss Forecasting Analyst,8/11,9/23,N/A,N/A,N/A,1.7
713,Georgia State University,0.68,Masters,St. Louis,M,1,0,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.86
714,University of Hull,4.74,Phd,Santa Cruz,M,N/A,1,1,2,Investment Risk Analyst,8/5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.03
715,University of Exeter,1.52,Phd,Sheffield,M,1,0,N/A,4,Investment Banking Analyst,5/12,4/20,Alternative Data Researcher,12/4,6/15,Quantitative Analyst,9/9,9/14,9.05
716,London South Bank University,0.21,Phd,Nottingham,F,0,0,N/A,3,Equity Derivatives Analyst,5/13,5/15,International Finance Analyst,9/23,5/24,Budget Analyst,12/17,8/21,3.61
717,Johns Hopkins University,1.51,Bachelors,Birmingham,F,0,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.72
718,University of North Carolina Wilmington,4.99,Masters,Columbus,N/A,N/A,0,N/A,3,Fixed Income Analyst,3/9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.68
719,University of Illinois at Urbana Champaign,4.3,Bachelors,Oxford,N/A,0,1,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.15
720,Stanford University,0.56,Bachelors,Kent,M,1,1,0,1,Mortgage Risk Analyst,6/4,8/7,Corporate Strategy Data Scientist,12/14,6/15,Anti Money Laundering Specialist,8/11,7/18,5.06
721,London School of Economics and Political Science,3.91,Phd,Chicago,N/A,0,0,1,1,Enterprise Risk Management Analyst,10/19,4/23,Model Governance Analyst,1/5,3/11,N/A,N/A,N/A,4
722,William and Mary,4.42,Bachelors,Chicago,F,1,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.8
